filename,class,ra,dec,ID,,catname, period,p2,p3,p4,
0.458:ID:GDR2_2162926254452857472.png,1,313.1646323,43.99839833,GDR2_2162926254452857472,,205239.51+435954.2,8.747,,,,
0.638:ID:GDR1_2162931580213813632.png,3,313.1660929,44.09671589,GDR1_2162931580213813632,,205239.86+440548.1,,,,,
0.136:ID:FHK_226.png,1,313.1775,44.32255556,FHK_226,,205242.59+441921.1,8.969,,,,
0.886:ID:GDR1_2162951027824541312.png,3,313.1978532,44.26164443,GDR1_2162951027824541312,,205247.48+441541.9,,,,,
0.870:ID:GDR1_2162951474504020224.png,3,313.2076249,44.31726527,GDR1_2162951474504020224,,205249.82+441902.1,8.425,,,,phased lightcurve not spectacular but seems real
0.879:ID:FHK_234.png,3,313.2109583,43.71541667,FHK_234,,205250.63+434255.5,,,,,
0.813:ID:GDR1_2162939208074518912.png,3,313.2187269,44.24031714,GDR1_2162939208074518912,,205252.49+441425.1,,,,,
0.895:ID:GDR1_2162939208074527616.png,3,313.223935,44.24917873,GDR1_2162939208074527616,,205253.74+441457.0,,,,,
0.839:ID:GDR1_2162924673904534272.png,3,313.2262823,43.87124329,GDR1_2162924673904534272,,205254.30+435216.4,,,,,
0.576:ID:FHK_489.png,2,313.2527917,44.61652778,FHK_489,,205300.67+443659.4,1.682,2.449,,,
0.406:ID:GDR1_2162952711451794176.png,1,313.2574988,44.3182722,GDR1_2162952711451794176,,205301.79+441905.7,8.263,,,,
0.782:ID:GDR1_2162984631649047936.png,3,313.2637374,44.66357119,GDR1_2162984631649047936,,205303.29+443948.8,4.765,,,,
0.603:ID:FHK_251.png,2,313.2739583,44.71030556,FHK_251,,205305.75+444237.0,4.117,,,,
0.939:ID:GDR1_2162939173714801152.png,3,313.2747694,44.26074821,GDR1_2162939173714801152,,205305.94+441538.6,,,,,
0.895:ID:FHK_253.png,3,313.2792083,44.30697222,FHK_253,,205307.01+441825.0,,,,,
0.801:ID:FHK_255.png,2,313.2841667,44.08730556,FHK_255,,205308.19+440514.2,2.327,,,,
0.146:ID:FHK_576.png,1,313.284625,44.83472222,FHK_576,,205308.31+445005.0,1.648,,,,
0.924:ID:GDR1_2162978172018122240.png,3,313.2877317,44.50295916,GDR1_2162978172018122240,,205309.05+443010.6,,,,,
0.433:ID:GDR1_2162938074203123712.png,1,313.3083529,44.21604899,GDR1_2162938074203123712,,205314.00+441257.7,7.27,,,,
0.709:ID:GDR1_2162872928138757248.png,3,313.3151536,43.73966973,GDR1_2162872928138757248,,205315.63+434422.8,,,,,
0.782:ID:FHK_272.png,3,313.3210833,44.64283333,FHK_272,,205317.05+443834.1,35.228,,,,
0.695:ID:FHK_490.png,2,313.3228333,44.46722222,FHK_490,,205317.48+442801.9,1.346,0.573,3.848,,all three peaks are likely real
0.619:ID:GDR1_2162939792190072448.png,2,313.3288317,44.24402348,GDR1_2162939792190072448,,205318.91+441438.4,9.058,,,,
0.658:ID:2MASS_J20532233+4438526.png,3,313.343053,44.64793143,2MASS_J20532233+4438526,,205322.33+443852.5,1.698572,2.4303,0.70717,,"three peaks very strong and consistent in both g and r, though phased lightcurves all look the same. unclear "
0.941:ID:FHK_577.png,3,313.34925,45.11327778,FHK_577,,205323.81+450647.7,,,,,
0.674:ID:FHK_278.png,2,313.34975,43.905,FHK_278,,205323.93+435418.0,,,,,
0.199:ID:FHK_281.png,1,313.3527083,44.34280556,FHK_281,,205324.65+442034.0,2.779,,,,
0.919:ID:GDR1_2162932993257907584.png,3,313.3529477,44.04186114,GDR1_2162932993257907584,,205324.70+440230.7,,,,,
0.757:ID:FHK_575.png,3,313.3562083,44.45452778,FHK_575,,205325.48+442716.2,13.336,,,,
0.148:ID:FHK_282.png,1,313.357375,44.17925,FHK_282,,205325.76+441045.3,1.454,3.177,,,both peaks are real; not harmonics
0.754:ID:FHK_562.png,3,313.3647083,44.10261111,FHK_562,,205327.53+440609.3,,,,,
0.643:ID:FHK_285.png,3,313.3654583,44.17630556,FHK_285,,205327.70+441034.6,6.82,,,,
0.318:ID:FHK_286.png,1,313.3675833,44.30577778,FHK_286,,205328.22+441820.7,0.974,42.72,,,both peaks seem real
0.693:ID:GDR1_2162965287117378944.png,3,313.3769366,44.44540125,GDR1_2162965287117378944,,205330.46+442643.4,,,,,
0.910:ID:GDR1_2162936665453858432.png,3,313.3807641,44.22623469,GDR1_2162936665453858432,,205331.38+441334.4,,,,,
0.499:ID:FHK_514.png,2,313.3889167,44.42186111,FHK_514,,205333.33+442518.6,3.645,,,,
0.412:ID:GDR1_2162933882314931968.png,1,313.3930354,44.12793433,GDR1_2162933882314931968,,205334.32+440740.5,6.619,,,,
0.878:ID:FHK_300.png,3,313.394875,44.48825,FHK_300,,205334.77+442917.7,4.674,,,,phased lightcurve is not awesome
0.506:ID:GDR1_2162940067068027392.png,2,313.3967864,44.28128984,GDR1_2162940067068027392,,205335.22+441652.6,21.859,,,,
0.923:ID:GDR1_2162965699433784192.png,3,313.3976903,44.46339235,GDR1_2162965699433784192,,205335.44+442748.2,,,,,
