Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
FHK_495,2.090391729,0.026341676,0.039569375,0.042311223,0.04846204
GDR2_2162926254452857472,8.744640799,0.453490621,0.065733287,0.070519125,0.081209421
FHK_159,2.006699585,0.176528555,0.062428685,0.066954162,0.077068357
GDR1_2162983772656231424,10.22247834,0.133497866,0.062608096,0.06714725,0.077291732
GDR1_2163141208978477312,212.0068492,0.137849274,0.062428685,0.066954162,0.077068357
FHK_530,11.59462452,0.357714704,0.062428685,0.066954162,0.077068357
FHK_575,13.34821114,0.185973751,0.062428685,0.066954162,0.077068357
FHK_45,35.25719879,0.200289458,0.062428685,0.066954162,0.077068357
FHK_121,2.421428249,0.578061153,0.324663752,0.349115228,0.400879602
FHK_164,10.14583842,0.247932704,0.062428685,0.066954162,0.077068357
GDR1_2163146569098464384,5.31986566,0.116419674,0.063472967,0.068082177,0.078381693
FHK_455,2.874024445,0.139639807,0.064944586,0.069670208,0.080227289
GDR1_2162235726791704960,364.1243824,0.128938546,0.05070582,0.054324407,0.062426822
GDR1_2066862542012143488,5.947059797,0.626552783,0.324663752,0.349115228,0.400879602
GDR1_2067026953358039552,3.570911445,0.456553123,0.064727939,0.069438939,0.07996363
2MASS_J20521101+4408102,45.53976675,0.097995814,0.040122703,0.042905251,0.04914686
GDR1_2163139731509868160,5.237509448,0.18779506,0.062604297,0.067143482,0.077288029
FHK_571,10.14583842,0.687902703,0.060718233,0.065111115,0.074931641
GDR1_2162957040779711616,109.2838102,0.164192401,0.063165136,0.067745716,0.077981942
GDR1_2162965390195367296,400,0.424909135,0.063724108,0.068346948,0.078676735
FHK_118,4.416966924,0.773549923,0.062428685,0.066954162,0.077068357
GDR1_2162221776736976896,106.2267858,0.115300864,0.075080283,0.080585499,0.092864581
2MASS_J20510895+4416420,6.149898936,0.146303861,0.06349579,0.068104806,0.078403926
FHK_429,13.17494193,0.034205875,0.041267864,0.044135613,0.050567223
2MASS_J20505543+4417461,9.372866126,0.124342477,0.055073662,0.059026026,0.067869804
FHK_451,143.9967842,0.191945123,0.064944586,0.069670208,0.080227289
2MASS_J20561812+4348116,267.7655062,0.298037022,0.065338424,0.070093947,0.080717183
GDR1_2162944911791083136,3.009194406,0.282382469,0.040199817,0.042987496,0.049240557
GDR1_2163155055959979392,251.3898194,0.167385335,0.062428685,0.066954162,0.077068357
GDR1_2162965699433784192,106.4192005,0.095164257,0.062428685,0.066954162,0.077068357
GDR2_2162948455142499968,118.8842478,0.067154607,0.040921086,0.043761541,0.050132317
FHK_509,3.211529254,0.478864718,0.063316881,0.067911747,0.07817955
2MASS_J20533901+4403328,2.672451377,0.459257334,0.040593299,0.043412629,0.04973624
FHK_261,149.5362168,0.310659608,0.062428685,0.066954162,0.077068357
GDR1_2163144473153865856,10.62372739,0.322182319,0.062428685,0.066954162,0.077068357
GDR1_2162946767216898432,364.1243824,0.192928114,0.043650324,0.046726397,0.053621773
FHK_430,7.295404203,0.643153746,0.064944586,0.069670208,0.080227289
GDR1_2162961541904548992,308.742706,0.107809763,0.060718233,0.065111115,0.074931641
FHK_200,3.308360626,0.399879951,0.062428685,0.066954162,0.077068357
FHK_98,5.383352784,0.076474961,0.062428685,0.066954162,0.077068357
FHK_101,400,0.201122896,0.062888244,0.067455696,0.07766271
GDR2_2162951684957670144,286.9228688,0.208610795,0.051381533,0.055053433,0.063274302
GDR1_2067045679428023680,41.36391928,0.107682532,0.039492941,0.042229837,0.048369592
FHK_179,286.9228688,0.148212975,0.053175151,0.056987336,0.065519791
GDR1_2162940067068027264,6.342038355,0.118761471,0.059179011,0.063446228,0.072988397
GDR1_2162251394832460672,6.422298319,0.722899643,0.060554909,0.064934938,0.074726993
