old_name,preferred_name,ra,dec,Simbad,TMASS,GaiaDR2,NameFHK
GDR1 2162931786370808448,FHK 204,313.1168,44.05861,ATO J313.1168+44.0586,2MASS J20522802+4403311,Gaia DR2 2162931790669348608,FHK 204
GDR1 2162952470933669632,FHK 205,313.11801,44.35405,2MASS J20522831+4421145,2MASS J20522831+4421145,Gaia DR2 2162952475231874688,FHK 205
2MASS J20522880+4418297,FHK 206,313.12002,44.30823,2MASS J20522880+4418297,2MASS J20522880+4418297,Gaia DR2 2162951783738847104,FHK 206
FHK 210,LkHA  174,313.12871,44.33656,EM* LkHA  174,2MASS J20523089+4420115,Gaia DR2 2162952406512185856,FHK 210
FHK 531,FHK 531,313.13608,44.44228,,2MASS J20523264+4426323,Gaia DR2 2162957388674274048,FHK 531
FHK 213,FHK 213,313.14092,44.40719,2MASS J20523381+4424263,2MASS J20523381+4424263,Gaia DR2 2162955601967870080,FHK 213
2MASS J20523394+4429168,FHK 533,313.14144,44.488,,2MASS J20523394+4429168,Gaia DR2 2162957594832716032,FHK 533
GDR1 2162951749379088640,LkHA  175,313.14322,44.2945,EM* LkHA  175,2MASS J20523437+4417402,Gaia DR2 2162951753677142784,FHK 214
FHK 216,FHK 216,313.14529,44.23347,ATO J313.1452+44.2334,2MASS J20523486+4414006,Gaia DR2 2162950546789495552,FHK 216
FHK 217,FHK 217,313.14712,44.55539,2MASS J20523531+4433193,2MASS J20523531+4433193,Gaia DR2 2162959141020961664,FHK 217
GDR1 2162932851524210816,FHK 220,313.15196,44.19621,2MASS J20523647+4411463,2MASS J20523647+4411463,Gaia DR2 2162932855821315328,FHK 220
GDR2 2162926254452857472,FHK 221,313.16463,43.9984,2MASS J20523950+4359542,2MASS J20523950+4359542,Gaia DR2 2162926254452857472,FHK 221
GDR1 2162931580213813632,FHK 222,313.16609,44.09672,2MASS J20523985+4405481,2MASS J20523985+4405481,Gaia DR2 2162931580213813632,FHK 222
FHK 226,FHK 226,313.1775,44.32256,,2MASS J20524259+4419212,Gaia DR2 2162951513159200128,FHK 226
GDR1 2162951027824541312,FHK 230,313.19785,44.26164,2MASS J20524748+4415420,2MASS J20524748+4415420,Gaia DR2 2162951027824541312,FHK 230
GDR1 2162951474504020224,FHK 233,313.20762,44.31727,2MASS J20524982+4419022,2MASS J20524982+4419022,Gaia DR2 2162951478799226112,FHK 233
FHK 234,FHK 234,313.21096,43.71542,,2MASS J20525062+4342554,Gaia DR2 2066799148294770048,FHK 234
GDR1 2162939208074518912,FHK 236,313.21873,44.24032,2MASS J20525249+4414252,2MASS J20525249+4414252,Gaia DR2 2162939208074518912,FHK 236
GDR1 2162939208074527616,FHK 238,313.22394,44.24918,2MASS J20525373+4414571,2MASS J20525373+4414571,Gaia DR2 2162939208074527616,FHK 238
GDR1 2162924673904534272,FHK 239,313.22628,43.87124,2MASS J20525430+4352165,2MASS J20525430+4352165,Gaia DR2 2162924673904534272,FHK 239
FHK 489,FHK 489,313.25279,44.61653,,2MASS J20530066+4436595,Gaia DR2 2162982196405393920,FHK 489
