star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
FHK_500,1.636471014613308,0.26322792260800754,16.52245539279561,0.5261134023109717,58.57210586738797,4.038231357067321,1.0248163152985144
FHK_506,1.3750260775343346,0.25830799004195226,16.64721954245972,0.6557162275662494,53.97313601944833,5.024680701994647,0.995479317278904
FHK_510,0.9292535232849635,0.04628460360757303,18.329779112694077,0.11725178895271604,42.89988245690242,1.4210807723010055,1.1702958706760613
FHK_511,1.2349597042454978,0.06447878878954905,17.105288811887185,0.16938805598663187,51.0014192594956,1.4646948428733986,0.875756189440798
FHK_514,1.0901723215377692,0.061791750347978125,17.67881024933702,0.15862039704708053,47.47027087642362,1.610251885592833,0.9340582491451568
FHK_517,1.3820367141835463,0.09248567959689369,14.757821663494859,0.20945745685761974,54.1116374553169,1.8161298834361068,0.3456918890321646
FHK_524,1.7693888704979566,0.20627953822281875,16.41830260734626,0.4037593256178358,60.526303358987136,2.8345792431887387,1.9055844869513807
FHK_530,1.9937696566675525,0.2797050230028719,15.167222465726685,0.5684525149846094,63.36337591595099,3.1910168728520403,0.6029642426982756
FHK_531,1.2452754822258445,0.07719658671726137,16.68311401133267,0.1986523328780816,51.23431066921984,1.7289017092217007,0.6717859075761238
FHK_532,1.1857429604754288,0.07050454079744994,16.09429995311647,0.19675678410746755,49.85728643048191,1.6814927338716104,0.8225066384671901
FHK_543,1.4664336818603,0.1506434056691296,15.098009837590794,0.2630078140269978,55.70888626190257,2.721290668103705,0.37696010935905416
FHK_562,0.8466026952555772,0.04804899032010734,14.320155257263245,0.05948386395490868,40.25134186042349,1.6010359658277378,0.15155986620146517
FHK_566,1.3134458446953698,0.08879321469364732,16.42960497816325,0.21009605376193718,52.71594706461229,1.8572195742521036,0.6404364787159498
FHK_567,2.115274088637171,0.5730365661457842,14.963443897198694,0.997959143136641,64.69746462854323,5.546546174610249,0.699508649730884
FHK_569,2.6437379211068572,0.39624655042178025,13.256455453808321,0.6281114565985257,69.2807587698867,2.8126664157764694,0.36658625848309034
FHK_56,1.313967134878702,0.09017748120068347,17.235074397090244,0.1910145835756225,52.72690438217727,1.8841219378446292,0.7158804007637585
FHK_571,1.0086571551610972,0.07425667804790342,17.950078791042046,0.18576357997440418,45.246938293870855,2.103084183118699,0.9674165330246549
FHK_575,1.104695818603199,0.04534719959981426,17.099172673943265,0.13093079835734045,47.84776917900107,1.1693079049284492,1.0261652712885987
FHK_576,1.1894426912878189,0.08899629686907551,17.647046291889765,0.2001021353573229,49.94523116193407,2.098462179975624,0.9637678635655194
